id,name,link,score,user_id,timestamp
1064,What is DAI Stablecoin,,1.0,kinha,2024-12-06 15:09:42
1066,Silicon Valley Bank has sent shockwaves through the crypto world by causing $USDC to depeg.,,0.9463811096612407,kinha,2024-12-06 15:09:42
1062,Did you miss out on $PEPE   People turned $100 into $1 million in the past 30 day,,0.8592126167927363,kinha,2024-12-06 15:09:42
1065,"Why Should I Buy $BNB === People always ask WHEN a good time to buy crypto is, but they should really be asking WHY they should",,0.8498660970781051,kinha,2024-12-06 15:09:42
159,,,0.7394455534270219,kinha,2024-12-06 15:09:42
560,,,0.5531824911449242,kinha,2024-12-06 15:09:42
84,Just focus on today.,,0.48276960300056854,kinha,2024-12-06 15:09:42
52,Matthew 25:29,,0.48167106517215647,kinha,2024-12-06 15:09:42
31,Don't laugh,,0.46947435520656783,kinha,2024-12-06 15:09:42
590,,,0.4686542817916586,kinha,2024-12-06 15:09:42
